artist,song,year,genre,lyrics,popularity
D12,My Band,2004,"hip hop, pop, rock","[Intro: Eminem]
I don't know, dude
I think everybody's all jealous and shit
‘Cause I'm, like, the lead singer of the band, dude
And I think everybody's got a fucking problem with me, dude
And they need to take it up with me after the show, because

[Chorus: Eminem]
These chicks don't even know the name of my band
But they're all on me like they wanna hold hands
‘Cause once I blow, they know that I'll be the man
All because I'm the lead singer of my band

[Verse 1: Eminem]
So I get off stage, right? Drop the mic
Walk up to these hot chicks and I'm all like
""Sup, ladies? My name's Slim Shady
I'm the lead singer of D12, baby""
They're all like, ""Oh my God, it's him
Becky, oh my fucking God, it's Eminem
I swear to fucking God, dude, you fucking rock
Please, Marshall, please, let me suck your cock""
And by now, the rest of the fellas get jealous
Especially when I drop the beat and do my a capellas
All the chicks start yelling, all the hot babes
Throw their bras and their shirts and their panties on stage
So, like every single night, they pick a fight with me
But when we fight, it's kinda like sibling rivalry
‘Cause they're back on stage the next night with me
Dude, I just think you're trying to steal the light from me
Yesterday, Kuniva tried to pull a knife on me
‘Cause I told him Jessica Alba's my wife-to-be
This rock star shit is the life for me
And all the other guys just despise me, because these
[Chorus: Eminem]
These chicks don't even know the name of my band
But they're all on me like they wanna hold hands
‘Cause once I blow, they know that I'll be the man
All because I'm the lead singer of my band

[Post-Chorus: Eminem]
My band, my band
My band, my band
My band, my band
My band, my band, my band, baby, yeah

[Refrain: Eminem &amp; Swifty McVay]
Alright, alright, alright, give me the mic, man
Okay, dawg, give—come on
Dude!
Give me this mic!
Ow, dude!

[Verse 2: Swifty McVay &amp; Kon Artis]
You just wanna see a nigga backwards, don't you?
ADAT? How come we don't rap on Pro Tools?
Smash these vocals and do a performance
But we in the van and he in a tour bus
You don't want my autograph, you's a liar
And no, I'm Swift (Oh, I thought you were Kuniva)
What the hell is wrong with our dressing room?
‘Cause our shit is looking smaller than a decimal
See, I know how to rap, it's simple, but
All I did was read a Russell Simmons book
So I'm more intact, tryin' to get on the map
Doing jumping jacks while getting whipped on my back
[Verse 3: Kuniva, Kon Artis, &amp; Eminem]
Look at Em's little punk ass, thinking he the shit
Yeah, I know, man, by himself, taking all the flicks
Hey, I thought we had an interview with DJ Clue?
No, I had an interview, not you two
You gon' be late for soundcheck! Man, I ain't going to soundcheck
And our mics are screwed up! And his always sound best
You know what, man? I'ma say something
Ayo Em! You got somethin' to say? Man, nothing
I thought you was about to tell him off, man, wassup?
Man, I'ma tell him when I feel like it, man, shut up
You ain't even back me up when we supposed to be crew
Man, I was about to talk right after you, I swear
Aww, man, whatever I swear, man!

[Chorus: Eminem]
These chicks don't even know the name of my band
But they're all on me like they wanna hold hands
‘Cause once I blow, they know that I'll be the man
All because I'm the lead singer of my band

[Verse 4: Proof, Eminem, &amp; Kon Artis]
They say the lead singers rock, but the group does not
Went from sold out arenas to amusement parks
I'm gon' let the world know that Proof is hot
I should cut his mic off when the music starts
(Ayo, it's—) Ready to snap on a dumbass fan
Every time I hear, ""Hey, dude, I love your band!""
We ain't a band, bitch, we don't play instruments
So why he get 90 and we only get 10 percent?
And these guys acting funny every area code
Proof, carry my bag! Bitch, carry your own
Can't make it to the stage, security in my way
Who the fuck are you? Where's Obie and Dre?
[Verse 5: Bizarre]
God damn it, I'm sick of this group (Fuck Eminem)
Time for me to go solo and make some loot (Yeah)
I told you I made the beats and wrote all the raps
Till Kon Artis slipped me some crack
""Lose Yourself"" video, I was in the back
""Superman"" video, I was in the back
For the media, I got some suggestions
Fuck Marshall, ask us some questions
Like ""Who is D12? How we get started?""
(But what about Eminem?) Bitch, are you retarded?
Anyway, I'm the popularest guy in the group
Big ass stomach, bitches think I'm cute (Hey sexy!)
50 told me to do sit-ups to get buff
Did two and a half and couldn't get up
Fuck D12, I'm outta this band
I'm 'bout to start a group with The Real Roxanne

[Bridge: Eminem &amp; Bizarre]
Girl, why can't you see you're the only one for me?
And it just tears my ass apart
To know that you don't know my name

[Refrain: Bizarre]
Man, fuck this

[Chorus: Bizarre]
These chicks don't even know the name of my band (Haha)
But they're all on me like they wanna hold hands (Fuck Marshall)
‘Cause once I blow, I know that I'll be the man (Yeah)
All because I'm the new singer—

[Post-Chorus: Eminem &amp; Bizarre]
My band, my band (Your band)
My band, my band (Our band, your band)
My band, my band (You man, you man)
My band, my band, my band (Roxanne Shanté, lesbian)
Yeah, hey y'all, the hardest boy band in the world, D12!

[Outro: Eminem]
I'm the lead singer of my band
I get all the girls to take off their underpants
I'm the lead singer of my band
My salsa makes all the pretty girls want to dance
My salsa, woah, woah, woah
Look out for my next single, it's called ""My Salsa""
My salsa, salsa, salsa, salsa
My salsa makes all the pretty girls want to dance
And take off their underpants
My salsa makes all the pretty girls want to dance
And take off their underpants
My salsa
Where'd everybody go?",74
Kelis,Trick Me,2003,"pop, R&B, Dance/Electronic","[Intro]
Wooo
This is It Yeah
Wooo

[Verse 1]
Said I've paid my dues for all that I've done
And I showed you that I loved you more than once
Theres nothing left there to decide
Said you might trick me once
I won't let you trick me twice
Freedom to us has always been a trick
Freedom to you has always been who ever landed on your dick
Seen it in your one to many times
Said you might trick me once
I won't let you trick me twice no

[Hook]
Might trick me once
I won't let you trick me twice
Might trick me once
I won't let you trick me twice no
Might trick me once
I won't let you trick me twice
No I won't let you trick me twice
[Verse 2]
Those days are old and overdone
And it's only cause I'm not with you that you make me number one
Though I may love you
It hurts me deep inside that now you no longer have to hide

[Verse 3]
I used to be down with the late night hit
Started gettin' heavy when I really wasn't ready
Used my class to get in my mind
So I fell for your lies like all the time
I thought you were the shit to be playin around
Call the police there's a mad girl in town
Couldn't get even here without a sound
It's not how I wanna get down yeah

[Hook]
Might trick me once
I won't let you trick me twice
Might trick me once
I won't let you trick me twice no
Might trick me once
I won't let you trick me twice
No I won't let you trick me twice

[Verse 4]
And I've paid all my dues for what I've done
And I showed you that I love you more than once
Theres nothing left there to decide
Ooh Trick me I won't let your trick me twice
You might trick me once
No I won't let me trick you twice no
You might trick me once
No I won't let me trick you twice
Woooo
Peace
Woooo
Woooo
Woooo",54
LL Cool J,Headsprung,2004,"hip hop, pop, R&B","[Verse 1: L.L. Cool J]
They call me Big Elly, a bit silly
But big money, big really
When I'm sliding in the Martin ya hear me
I be slicing with these bars so ya fear me
Let me rip it up for cuz in the back
Let me flip I put a buzz in ya hat
I'ma tell ya how to cause an attack
Timbaland, Ladies Love on the track
Lovely get the ice, pop champagne
Don't forget I used to ride on the train
When I bump it right, call my name
Go crazy in the mall wit James
Dump that, not ill like me
Bring the women in to chill for free
Let me tell ya girl, don't try me
You better have I.D.!

[Hook - Timbaland]
When we be up in the club
We be posting the back
When we be in the club
Girl always come to the back
And we 'bout to get our head sprung
And we 'bout to get our head sprung
And we 'bout to get our head sprung
And we 'bout to get our head sprung
When we be up in the club
We be posting the back
When we be in the club
Girl always come to the back
And we 'bout to get our head sprung
And we 'bout to get our head sprung
And we 'bout to get our head sprung
And we 'bout to get our head sprung
[Verse 2: L.L. Cool J]
Lord have mercy! If the broad is thirsty
I'll have her man reimburse me
The part that hurts me, is when they try to work me
But I could never let ya jerk me
Steady sticking to the wall, give it up
Sneaking through the back door, live it up
Got the champagne, pour me a cup
Got the girls looking raw in the front
Got a call, your man's in town
Tell the bar a-nother round
Got all my mans holding me down
Kinda thick ma, let's get down, so get wit it
I'm saying what time wanna dip wit it?
Got playas on the grind, wanna skip wit it
Backstage you mine, I'm a spit wit it, hey!

[Hook]
When we be up in the club
We be posting the back
When we be in the club
Girl always come to the back
And we bout to get our head sprung
And we 'bout to get our head sprung
And we 'bout to get our head sprung
And we 'bout to get our head sprung
When we be up in the club
We be posting the back
When we be in the club
Girl always come to the back
And we 'bout to get our head sprung
And we 'bout to get our head sprung
And we 'bout to get our head sprung
And we 'bout to get our head sprung
[Bridge: L.L. Cool J &amp; Ladies &amp; Fellas]
Hey ladies! (Yeah!) no need to get your hair done
I said yo ladies! (Yeah!) no need to get your hair done
I'ma get your head sprung, I'ma get your head sprung
I'ma get your head sprung, I'ma get your head sprung
I said yo fellas (Yo!) no need to throw them ones
I said yo fellas (Yo!) no need to throw them ones
I'ma get your head sprung, I'ma get your head sprung
I'ma get your head sprung, I'ma get your head sprung (Hey!)

[Hook]
When we be up in the club
We be posting the back
When we be in the club
Girl always come to the back
And we 'bout to get our head sprung
And we 'bout to get our head sprung
And we 'bout to get our head sprung
And we 'bout to get our head sprung
When we be up in the club
We be posting the back
When we be in the club
Girl always come to the back
And we 'bout to get our head sprung
And we 'bout to get our head sprung
And we 'bout to get our head sprung
And we 'bout to get our head sprung
[Outro - Timbaland]
Yeah! Keep chillin wit 'em, yeah",61
Nina Sky,Move Ya Body,2004,"pop, R&B","[Chorus]
Move your body, girl
Makes the fellas go
The way you ride it, girl
Makes the fellas go
Move your body, girl
Makes the fellas go
The way you ride it, girl
Makes the fellas go

[Verse 1]
All up in the club looking fly
Made your first approach
And caught his eye
Slowly move your way
Towards the dance floor
Grabbed her hand
And she whispered
Hold my hip
Got in the groove
Stand behind me
Let me grind with you
If I lick my lips
I'm probably feeling you
Imma make you go ooh
[Chorus]
Move your body, girl
Makes the fellas go
The way you ride it, girl
Makes the fellas go
Move your body, girl
Makes the fellas go
The way you ride it, girl
Makes the fellas go

[Verse 2]
Whoo
(You feelin' it now)
Take it slow
Turn me on
Club gets warmer
Body moves closer
One with the rhythm
Don't stop moving
You're making me hot
From head to toe
I feel your flow
Vibe gets stronger
Party seems longer
Makes me really want ya
Don't stop moving
You're making me
Hot
[Chorus]
Move your body, girl
Makes the fellas go
The way you ride it, girl
Makes the fellas go
Move your body, girl
Makes the fellas go
The way you ride it, girl
Makes the fellas go
Move your body, girl
Makes the fellas go
The way you ride it, girl
Makes the fellas go
Move your body, girl
Makes the fellas go
The way you ride it, girl
Makes the fellas go

[Bridge]
Can you feel the beat?
Can you?
Can you feel the beat?
Can you feel the beat?
Can you?
Can you feel the beat?
Can you feel the beat within my heart?
Can't you see my love shine through the dark?
Can you feel the beat?
Can you feel the beat within my heart?
Can't you see my love shine through the dark?
Can't you see that you must be a part
Of that beat in my heart?
[Bridge 2: Jabba]
Slow wind, slow wind, slow wind, slow wind
Fast wind, fast wind, fast wind, fast wind
Move your body, move your body
Move your body, move your body

[Chorus]
Move your body, girl
Makes the fellas go
The way you ride it, girl
Makes the fellas go
Move your body, girl
Makes the fellas go
The way you ride it, girl
Makes the fellas go
Move your body, girl
Makes the fellas go
The way you ride it, girl
Makes the fellas go
Move your body, girl
Makes the fellas go
The way you ride it, girl
Makes the fellas go",74
Petey Pablo,Freek-A-Leek,2003,"hip hop, pop","[Intro]

[DJ Petey Pablo]
Let's take some calls from the request line
Caller number 1

[Caller number 1]
Hey man what's up this Dominique from Shady Knoll trailer park

[DJ Petey Pablo]
What's up Dominique?

[Caller number 1]
I wanna hear that song from Lil' Jon and Petey Pablo

[DJ Petey Pablo]
Aight, I got that coming right up for ya
Now shout out the radio station that gave ya what ya wanted

[Caller number 1]
W boom boom beat baby

[Hook 1]
How you like it daddy (Would ya do it from the front?)
How you like it daddy (Would ya do it from the back?)
How you like it daddy (Gonna break it down like that, uh)
How you like it daddy (Would ya do it from the front?)
How you like it daddy (Would ya take it from the back?)
How you like it daddy (Gonna break it down like that, uh)
[Verse 1]
Twenty-four, thirty-four, forty-six
Good and thick and what you give her she'll work wit' it (she'll work wit' it)
Pretty face and some cute lips
Earing in her tongue and she know what to do with it (she know what to do wit' it)
Made a name for herself and she do her shit well and know how
To keep her business to herself
Come over anytime nigga call check
1 o'clock, 2 o'clock (ding dong) and she right there
And she know why she came here
And she know where clothes suppose to be (off and over there)
Sniff a lil' coke, take a lil' x, smoke a lil' weed, drink a lil' bit
I need a girl I could freak wit' (freak wit')
And wanna try shit and ain't scared of a big dick (big dick)
And love to get her pussy licked by another bitch
'Cause I ain't drunk enough to do that shit

[Hook 2]
Freek-a-leek
(How you like it daddy) Shamika, Kiesha, Tara (freek-a-leek)
(How you like it daddy) Shawna, Sabrina, Crystal, DaRhonda (freek-a-leek)
(How you like it daddy) Lisa, Felicia, Tonisha, Shavon (freek-a-leek)
(How you like it daddy) Monica, Monique, Christina, Yolonda

[Verse 2]
I need to know a whole lot
That could teach me broad
Need a ding dong stick a tongue and take her to ball
I had to gon' head do that for her
I'm spoiled (and I don't like to work that hard)
I like to lay back relax and enjoy my turn
Let my eyes roll back and my toes curl (I love when you do that girl)
Til it come time for me to have to give her hers
Tell me what you want
Do you want it missionary with your feet crammed to the headboard
Do you want it from the back with your face
In the pillow so you could yell as loud as you want to
Do you want it on the floor, do you want it on the chair
Do you want it over here, do you want it over there
Do you want it in your pussy, do you want it in your ass
I could give you (anything you can handle)
[Hook 2]
Freek-a-leek
(How you like it daddy) Shamika, Kiesha, Tara (freek-a-leek)
(How you like it daddy) Shawna, Sabrina, Crystal, DaRhonda (freek-a-leek)
(How you like it daddy) Lisa, Felicia, Tonisha, Shavon (freek-a-leek)
(How you like it daddy) Monica, Monique, Christina, Yolonda

[Hook 1]
How you like it daddy (Would ya do it from the front?)
How you like it daddy (Would ya do it from the back?)
How you like it daddy (Gonna break it down like that, uh)
How you like it daddy (Would ya do it from the front?)
How you like it daddy (Would ya take it from the back?)
How you like it daddy (Gonna break it down like that, uh)

[Caller number 1]
Hey I appreciate that homeboy

[DJ Petey Pablo]
Not a problem, you know I do it cause I love ya
Now I got to give a shout out to Seagram's gin
Cause I drink it, and they payin' me for it

[Hook 3]
Freek-a-leek
Shamika, Kiesha, Tara (freek-a-leek)
Shawna, Sabrina, Crystal, DaRhonda (freek-a-leek)
Lisa, Felicia, Tonisha, Shavon (freek-a-leek)
Monica, Monique, Christina, Yolonda
[Hook 2]
Freek-a-leek
(How you like it daddy) Shamika, Kiesha, Tara (freek-a-leek)
(How you like it daddy) Shawna, Sabrina, Crystal, DaRhonda (freek-a-leek)
(How you like it daddy) Lisa, Felicia, Tonisha, Shavon (freek-a-leek)
(How you like it daddy) Monica, Monique, Christina, Yolonda

[Outro]
Double-U boom boom beat
The radio station that plays all the new hip hop and R&amp;B
That was the new ""Freek-A-Leek"" by Petey Pablo
Something to put a little razzle to your dazzle
A little pimp in your step
We gonna keep it going and we're gonna play another one of the songs off of the album
This one right here, one of my personal favorites
Featuring Young Buck from G-G-G-G-G-G-G-Unit!",76
JAY-Z,Dirt Off Your Shoulder,2003,hip hop,"[Produced by Timbaland]

[Intro]
You're now tuned into the muh'fuckin' greatest (Jigga)
Turn the music up in the headphones (Jigga)
Tim, you can go and brush your shoulder off, nigga
I got you, yeah, uhh

[Chorus]
If you feeling like a pimp
Nigga, go and brush your shoulders off
Ladies is pimps too, go and brush your shoulders off
Niggas is crazy, baby, don't forget that boy told you
Get that dirt off your shoulder

[Verse 1]
I probably owe it to y'all, probably be locked by the force
Tryin' to hustle some things that go with the Porsche
Feelin' no remorse, feelin' like my hand was forced
Middle finger to the law, nigga, grippin' my balls
Said the ladies, they love me, from the bleachers they screamin'
All the ballers is bouncin', they like the way I be leanin'
All the rappers be hatin' off the track that I'm makin'
But all the hustlers, they love it, just to see one of us make it
Came from the bottom of the bottom, to the top of the pops
Nigga, London, Japan and I'm straight off the block
Like a running back, get it? Man, I'm straight off the block
I can run it back, nigga, ‘cause I'm straight with the Roc
[Chorus]
If you feeling like a pimp
Nigga, go and brush your shoulders off
Ladies is pimps too, go and brush your shoulders off
Niggas is crazy, baby, don't forget that boy told you
Get that dirt off your shoulder
You gotta get that dirt off your shoulder
You gotta get that dirt off your shoulder
You gotta get that dirt off your shoulder
You gotta get that dirt off your shoulder

[Verse 2]
Your homie Hov' in position, in the kitchen with soda
I just whipped up a watch, tryin' to get me a Rover
Tryin' to stretch out the coca, like a wrestler, yessir
Keep the Heckler close, you know them smokers'll test ya
But, like, 52 cards went out, I'm through dealin'
Now 52 bars come out, now you feel 'em
Now 52 cars roll out, remove ceilin'
In case 52 broads come out, now you chillin'
With a boss, bitch, of course, S.C. on the sleeve
At the 40/40 club, ESPN on the screen
I paid a grip for the jeans, plus the slippers is clean
No chrome on the wheels, I'm a grown-up for real

[Chorus]
If you feeling like a pimp
Nigga, go and brush your shoulders off
Ladies is pimps too, go and brush your shoulders off
Niggas is crazy, baby, don't forget that boy told you
Get, that, dirt off your shoulder
You gotta get that dirt off your shoulder
You gotta get that dirt off your shoulder
You gotta get that dirt off your shoulder
You gotta get that dirt off your shoulder
[Verse 3]
Your boy back in the building; Brooklyn, we back on the map
Me and my beautiful bee-itch in the back of that 'Bach
I'm the realest to run it, I just happen to rap
I ain't gotta clap at 'em, niggas scared of that black
I drop that Black Album, then I back out it
As the best rapper alive, nigga, ask 'bout me
From bricks to Billboards, from grams to Grammy's
From O's to opposite of Orphan Annie
You gotta pardon Jay, for sellin' out the Garden in a day
I'm like a young Marvin in his hey'
I'm a hustler, homie, you a customer crony
Got some dirt on my shoulder; could you brush it off for me?

[Chorus]
If you feeling like a pimp
Nigga, go and brush your shoulders off
Ladies is pimps too, go and brush your shoulders off
Niggas is crazy, baby, don't forget that boy told you
Get, that, dirt off your shoulder
You gotta get that dirt off your shoulder
You gotta get that dirt off your shoulder
You gotta get that dirt off your shoulder
You gotta get that dirt off your shoulder

[Outro]
You're now tuned into the mu'fuckin' greatest
Best rapper alive, best rapper alive",66
Juanes,La Camisa Negra,2004,"pop, latin","[Letra de ""La Camisa Negra""]

[Intro]
Uno por pobre y feo, home'
Pero antojao'

[Verso 1]
Tengo la camisa negra
Hoy mi amor está de luto
Hoy tengo en el alma una pena
Y es por culpa de tu embrujo
Hoy sé que tú ya no me quieres
Y eso es lo que más me hiere
Que tengo la camisa negra
Y una pena que me duele

[Pre-Coro]
Mal parece que solo me quedé
Y fue pura todita tu mentira
Qué maldita mala suerte la mía
Que aquel día te encontré
Por beber del veneno malevo de tu amor
Yo quedé moribundo y lleno de dolor
Respiré de ese humo amargo de tu adiós
Y desde que tú te fuiste yo solo tengo
[Coro]
Tengo la camisa negra
Porque negra tengo el alma
Yo por ti perdí la calma
Y casi pierdo hasta mi cama
Cama-cama, come on, baby
Te digo con disimulo
Que tengo la camisa negra
Y debajo tengo el difunto

[Interludio]
¡Pa' enterrártelo cuando quieras, mamita!
Así como lo oye, mija

[Verso 2]
Tengo la camisa negra
Ya tu amor no me interesa
Lo que ayer me supo a gloria
Hoy me sabe a pura
Miércoles por la tarde y tú que no llegas
Ni siquiera muestras señas
Y yo con la camisa negra
Y tus maletas en la puerta

[Pre-Coro]
Mal parece que solo me quedé
Y fue pura todita tu mentira
Que maldita mala suerte la mía
Que aquel día te encontré
Por beber del veneno malevo de tu amor
Yo quedé moribundo y lleno de dolor
Respiré de ese humo amargo de tu adiós
Y desde que tú te fuiste yo solo tengo
[Coro]
Tengo la camisa negra
Porque negra tengo el alma
Yo por ti perdí la calma
Y casi pierdo hasta mi cama
Cama-cama, come on, baby
Te digo con disimulo
Que tengo la camisa negra
Y debajo tengo el difunto

[Coro]
Tengo la camisa negra
Porque negra tengo el alma
Yo por ti perdí la calma
Y casi pierdo hasta mi cama
Cama-cama, come on, baby
Te digo con disimulo
Que tengo la camisa negra
Y debajo tengo el difunto",78
Ying Yang Twins,Salt Shaker,2003,"hip hop, pop","[Hook]
Shawty crunk on the floor wide open
Skeet so much they call her Billy Ocean
Roll like an 18-wheeler
That ho fine, but this ho a killer
She's leaking! She's soaking wet
She leaking! Soaking wet
Shake it like a salt shaker (shake it like a salt shaker)
Shake it like a salt shaker (shake it like a salt shaker)


[Verse 1]
P-Popping till you percolate
First booty on duty, no time to wait
Make it work, with your wet t-shirt
Bitch you gotta shake it till your calf muscle hurt
Say the heels on your feet, strap around your ankles
Jegga jegga jegga
Call that bitch Bojangles
Juicy like fruit or douche like coup Deville
Lucy get loose on the goose for real
Five dollars get your ass a table dance
If you got 10 then bring a friend
Ho shake your ass till the song end
If you ain't wit' it, well go on, then!
We ain't no boys, we grown men
If you ain't gonna dance, well don't then!
Why you wanna waste a nigga's song, then?
Sittin' your ass down doing nothing?
[Hook]
Shawty crunk on the floor wide open
Skeet so much they call her Billy Ocean
Roll like an 18-wheeler
That ho fine, but this ho killer
She's leaking! She's soaking wet
She leaking! Soaking wet
Shake it like a salt shaker (shake it like a salt shaker)
Shake it like a salt shaker (shake it like a salt shaker)


[Line Dancing Portion - Lil Jon]
Face the wall shawty, put your hands on it
Bounce that ass up &amp; down; make a nigga want it
Face the wall shawty, put your hands on it
Bounce that ass up &amp; down; make a nigga want it
Roll that ass round &amp; round like a motherfucking wheel
Shake that shit, this ain't no motherfuckin drill!
Roll that ass round &amp; round like a motherfucking wheel
Shake that shit this ain't no motherfucking drill!
Get crunk with, get loose with it
Like Short said: let Bruce Bruce hit it!
Get crunk with it, get loose with it
Like Short said: let Bruce Bruce hit it
Shake that ass real fast then stop
Shake that ass real fast then stop
Shake that ass real fast then drop
Shake that ass real fast then drop
[Hook]
Shawty crunk on the floor wide open
Skeet so much they call her Billy Ocean
Roll like an 18-wheeler
That ho fine, but this ho a killer
She's leaking! She's soaking wet
She leaking! Soaking wet
Shake it like a salt shaker (shake it like a salt shaker)
Shake it like a salt shaker (shake it like a salt shaker)

[Verse 2]
Shake it like a dollar, 5, or 10
But what would you do for a twenty twen?
Get on the stage shake that ass, then
Get on the pole do a backbend
I like that! Do it again!
Here's another 10 bitch, do it again
Work it like a game that you playing to win
Make that pussy fart for the Ying Yang Twins

16 bitches in thongs in 1 club
The home of the thick, redbones and big butts
Game spittin' bitches splitting all on the floor
Bonafide, can't deny it, certified pro
On the pole upside down (is she for real?)
69ed plenty of times to pay her bills
By day she's a clerk, by night she turn stripper
You're not even dating
You just trying so you can tip her!
[Hook]
Shawty crunk on the floor wide open
Skeet so much they call her Billy Ocean
Roll like an 18-wheeler
That ho fine, but this ho a killer
She's leaking! She's soaking wet
She leaking! Soaking wet
Shake it like a salt shaker (shake it like a salt shaker)
Shake it like a salt shaker (shake it like a salt shaker)",68
Kelis,Milkshake,2003,"pop, R&B, Dance/Electronic","[Chorus]
My milkshake brings all the boys to the yard
And they're like, it's better than yours
Damn right, it's better than yours
I can teach you, but I have to charge
My milkshake brings all the boys to the yard
And they're like, it's better than yours
Damn right, it's better than yours
I can teach you, but I have to charge

[Verse 1]
I know you want it
The thing that makes me
What the guys go crazy for
They lose their minds
The way I wind
I think it's time

[Pre-Chorus]
La-la, la-la, la
Warm it up
La-la, la-la, la
The boys are waiting
La-la, la-la, la
Warm it up
La-la, la-la, la
The boys are waiting
[Chorus]
My milkshake brings all the boys to the yard
And they're like, it's better than yours
Damn right, it's better than yours
I can teach you, but I have to charge
My milkshake brings all the boys to the yard
And they're like, it's better than yours
Damn right, it's better than yours
I can teach you, but I have to charge

[Verse 2]
I can see you're on it
You want me to teach thee
Technique that freaks these boys
It can't be bought
Just know, thieves get caught
Watch if you're smart

[Pre-Chorus]
La-la, la-la, la
Warm it up
La-la, la-la, la
The boys are waiting
La-la, la-la, la
Warm it up
La-la, la-la, la
The boys are waiting
[Chorus]
My milkshake brings all the boys to the yard
And they're like, it's better than yours
Damn right, it's better than yours
I can teach you, but I have to charge
My milkshake brings all the boys to the yard
And they're like, it's better than yours
Damn right, it's better than yours
I can teach you, but I have to charge

[Verse 3]
Oh, once you get involved
Everyone will look this way, so
You must maintain your charm
Same time maintain your halo
Just get the perfect blend
Plus what you have within
Then next his eyes'll squint
Then he's picked up your scent

[Pre-Chorus]
La-la, la-la, la
Warm it up
La-la, la-la, la
The boys are waiting
La-la, la-la, la
Warm it up
La-la, la-la, la
The boys are waiting
[Chorus]
My milkshake brings all the boys to the yard
And they're like, it's better than yours
Damn right, it's better than yours
I can teach you, but I have to charge
My milkshake brings all the boys to the yard
And they're like, it's better than yours
Damn right, it's better than yours
I can teach you, but I have to charge",61
Linkin Park,Breaking the Habit,2003,"rock, metal","[Verse 1]
Memories consume, like opening the wound
I'm picking me apart again
You all assume I'm safe here in my room
Unless I try to start again

[Pre-Chorus]
I don't want to be the one the battles always choose
'Cause inside, I realize that I'm the one confused

[Chorus]
I don't know what's worth fighting for or why I have to scream
I don't know why I instigate and say what I don't mean
I don't know how I got this way, I know it's not alright
So, I'm breaking the habit
I'm breaking the habit tonight

[Verse 2]
Clutching my cure, I tightly lock the door
I try to catch my breath again
I hurt much more than anytime before
I had no options left again

[Pre-Chorus]
I don't want to be the one the battles always choose
'Cause inside, I realize that I'm the one confused
[Chorus]
I don't know what's worth fighting for or why I have to scream
I don't know why I instigate and say what I don't mean
I don't know how I got this way, I'll never be alright
So, I'm breaking the habit
I'm breaking the habit tonight

[Bridge]
I'll paint it on the walls 'cause I'm the one at fault
I'll never fight again and this is how it ends

[Chorus]
I don't know what's worth fighting for or why I have to scream
But now I have some clarity to show you what I mean
I don't know how I got this way, I'll never be alright
So, I'm breaking the habit
I'm breaking the habit
I’m breaking the habit tonight",72
